Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.298,81.38,6.968,3.27,74.81,918.8,936.3,115.1,104.1,145.4,908.7,8.81,18.75,2.0
106.111,82.099,11.128,2.96,75.62,900.7,917.5,114.5,104.3,145.8,880.6,8.82,18.75,4.0
106.08,81.469,6.084,2.87,75.67,904.4,919.5,123.2,106.7,145.5,911.3,8.96,18.6,4.0
105.973,81.304,6.292,3.32,75.76,895.3,914.2,113.3,104.2,145.9,882.5,8.75,18.82,3.0
106.189,81.146,6.968,3.17,74.82,913.1,925.4,120.2,106.5,145.5,920.9,8.85,18.71,2.0
105.95,81.286,6.188,3.28,75.73,890.0,909.9,119.3,105.3,146.0,890.4,8.79,18.77,3.0
106.217,81.385,6.968,3.25,74.82,913.4,928.9,118.1,104.2,146.4,910.8,8.79,18.78,2.0
106.237,81.437,6.864,3.178709768779277,74.82,903.1,918.2,104.6,104.9,146.1,933.1,8.68,18.75,1.0
106.23,81.234,6.968,3.19,74.81,908.3,925.6,121.1,105.1,146.4,917.1,8.87,18.7,2.0
106.111,81.562,6.136,2.91,75.62,905.5,920.8,114.5,105.9,145.9,893.1,8.86,18.71,4.0
106.112,82.036,11.128,2.98,75.63,900.9,915.1,118.1,103.6,145.0,882.8,8.79,18.77,4.0
106.146,82.107,11.128,2.89,75.64,902.9,919.3,121.7,105.3,145.0,893.5,8.92,18.65,4.0
105.901,81.315,6.292,3.34,75.76,897.4,914.7,120.2,105.4,146.4,886.3,8.76,18.81,3.0
105.867,81.179,6.239999999999999,3.29,75.74,890.5,910.8,121.1,109.1,146.4,895.9,8.83,18.74,3.0
106.36,81.351,6.968,3.29,74.82,920.4,939.1,116.3,103.0,146.2,906.0,8.82,18.75,2.0
106.282,81.294,6.968,3.2,74.82,911.6,927.8,116.9,104.6,146.0,909.4,8.82,18.75,2.0
106.206,81.226,6.968,3.23,74.8,906.8,926.3,115.4,104.8,146.0,913.5,8.79,18.78,2.0
105.913,80.873,6.864,3.16,74.83,918.6,937.4,124.7,110.0,145.7,910.6,8.84,18.72,2.0
106.237,80.617,6.864,3.22,74.82,901.6,926.3,120.5,106.55026044612632,148.1,923.9,8.82,18.8,1.0
106.053,81.32,6.968,3.21,74.8,908.8,927.6,123.2,105.3,146.2,916.6,8.84,18.73,2.0
106.253,81.349,6.864,3.17,74.81,918.2,934.8,118.7,105.5,146.5,910.8,8.86,18.71,2.0
105.849,81.262,6.188,3.27,75.74,893.1,911.4,128.5,109.7,146.5,910.0,8.84,18.73,3.0
